 2017-06-13 11:16:16 INFO: initializing ciphers... rc4-md5
 2017-06-13 11:16:16 INFO: tcp port reuse enabled
 2017-06-13 11:16:16 INFO: listening at 127.0.0.1:1080
 2017-06-13 20:00:38 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:01:41 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 20:02:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:02:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:02:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:14:28 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 20:17:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:22 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:23 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:25 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:26 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:28 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:29 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:17:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 20:55:19 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 20:58:56 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 21:25:50 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:25:51 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 21:53:34 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:53:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 21:53:37 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 21:55:46 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:55:59 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:56:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:56:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 21:56:16 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:16 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 22:27:34 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:35 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:37 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:38 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:27:40 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:56:49 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:56:50 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:56:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 22:56:52 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 23:26:52 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 23:49:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 23:49:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 23:50:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 23:57:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 23:57:04 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-14 00:15:52 ERROR: getpeername: Transport endpoint is not connected
 2017-06-14 00:16:09 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-14 00:16:18 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-14 00:16:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-14 00:16:19 ERROR: getpeername: Transport endpoint is not connected
 2017-06-14 00:16:19 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-14 00:16:20 ERROR: remote_recv_cb_recv: Connection reset by peer
